アクメシア	Akumesia
chr011_attack_A_01	chr011_attack_A_01
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr011_attack_A_01.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr011_attack_A_01.png
chr011_attack_A_02	chr011_attack_A_02
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr011_attack_A_02.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr011_attack_A_02.png
chr011_attack_A_03	chr011_attack_A_03
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr011_attack_A_03.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr011_attack_A_03.png
chr011_attack_A_04	chr011_attack_A_04
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr011_attack_A_04.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr011_attack_A_04.png
chr011_attack_A_05	chr011_attack_A_05
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr011_attack_A_05.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr011_attack_A_05.png
chr011_attack_B_01	chr011_attack_B_01
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr011_attack_B_01.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr011_attack_B_01.png
chr011_attack_B_02	chr011_attack_B_02
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr011_attack_B_02.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr011_attack_B_02.png
chr011_attack_B_03	chr011_attack_B_03
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr011_attack_B_03.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr011_attack_B_03.png
chr011_attack_C_01	chr011_attack_C_01
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr011_attack_C_01.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr011_attack_C_01.png
chr011_attack_D_01	chr011_attack_D_01
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr011_attack_D_01.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr011_attack_D_01.png
chr011_attack_D_02	chr011_attack_D_02
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr011_attack_D_02.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr011_attack_D_02.png
chr011_attack_E_01	chr011_attack_E_01
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr011_attack_E_01.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr011_attack_E_01.png
chr011_walk	chr011_walk
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr011_walk.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr011_walk.png
chr002_face_icon	chr002_face_icon
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr002_face_icon.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr002_face_icon.png
chr002_status_image	chr002_status_image
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr002_status_image.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr002_status_image.png
chr004_face_icon	chr004_face_icon
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr004_face_icon.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr004_face_icon.png
chr004_status_image	chr004_status_image
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr004_status_image.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr004_status_image.png
chr003_face_icon	chr003_face_icon
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr003_face_icon.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr003_face_icon.png
chr003_status_image	chr003_status_image
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr003_status_image.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr003_status_image.png
chr005_face_icon	chr005_face_icon
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr005_face_icon.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr005_face_icon.png
chr005_status_image	chr005_status_image
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr005_status_image.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr005_status_image.png
chr010_face_icon	chr010_face_icon
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr010_face_icon.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr010_face_icon.png
chr009_face_icon	chr009_face_icon
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr009_face_icon.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr009_face_icon.png
chr009_status_image	chr009_status_image
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr009_status_image.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr009_status_image.png
chr007_face_icon	chr007_face_icon
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr007_face_icon.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr007_face_icon.png
chr011_face_icon	chr011_face_icon
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr011_face_icon.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr011_face_icon.png
chr011_status_image	chr011_status_image
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr011_status_image.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr011_status_image.png
chr013_eyes	chr013_eyes
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr013_eyes.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr013_eyes.png
chr013_mouth	chr013_mouth
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr013_mouth.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr013_mouth.png
chr013	chr013
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr013.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr013.png
chr013_animal	chr013_animal
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr013_animal.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr013_animal.png
chr017_mouth	chr017_mouth
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr017_mouth.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr017_mouth.png
chr017	chr017
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr017.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr017.png
chr017_eyes	chr017_eyes
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr017_eyes.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr017_eyes.png
chr018	chr018
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr018.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr018.png
chr018_eyes	chr018_eyes
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr018_eyes.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr018_eyes.png
chr018_mouth	chr018_mouth
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr018_mouth.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr018_mouth.png
chr019	chr019
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr019.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr019.png
chr019_eyes	chr019_eyes
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr019_eyes.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr019_eyes.png
chr019_mouth	chr019_mouth
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr019_mouth.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr019_mouth.png
chr020	chr020
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr020.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr020.png
chr020_eyes	chr020_eyes
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr020_eyes.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr020_eyes.png
chr020_mouth	chr020_mouth
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr020_mouth.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr020_mouth.png
chr021_mouth	chr021_mouth
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr021_mouth.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr021_mouth.png
chr021	chr021
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr021.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr021.png
chr021_eyes	chr021_eyes
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr021_eyes.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr021_eyes.png
chr024_mouth	chr024_mouth
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr024_mouth.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr024_mouth.png
chr024	chr024
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr024.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr024.png
chr024_eyes	chr024_eyes
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr024_eyes.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr024_eyes.png
chr028	chr028
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr028.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr028.png
chr028_eyes	chr028_eyes
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr028_eyes.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr028_eyes.png
chr028_mouth	chr028_mouth
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr028_mouth.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr028_mouth.png
chr030_mouth	chr030_mouth
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr030_mouth.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr030_mouth.png
chr030	chr030
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr030.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr030.png
chr030_eyes	chr030_eyes
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr030_eyes.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr030_eyes.png
chr031_mouth	chr031_mouth
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr031_mouth.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr031_mouth.png
chr031	chr031
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr031.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr031.png
chr031_eyes	chr031_eyes
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr031_eyes.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr031_eyes.png
chr032_mouth	chr032_mouth
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr032_mouth.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr032_mouth.png
chr032	chr032
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr032.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr032.png
chr032_eyes	chr032_eyes
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr032_eyes.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr032_eyes.png
chr034	chr034
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr034.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr034.png
chr034_eyes	chr034_eyes
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr034_eyes.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr034_eyes.png
chr034_mouth	chr034_mouth
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr034_mouth.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr034_mouth.png
chr035	chr035
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr035.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr035.png
chr035_eyes	chr035_eyes
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr035_eyes.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr035_eyes.png
chr035_mouth	chr035_mouth
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr035_mouth.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr035_mouth.png
chr002	chr002
normal	normal
happy	happy
angry	angry
sad	sad
blush	blush
surprising	surprising
sweat smile	sweat smile
surpring	surpring
body	body
mouth	mouth
eyes	eyes
chr002_damage	chr002_damage
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr002_damage.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr002_damage.png
chr004_damage	chr004_damage
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr004_damage.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr004_damage.png
chr003_damage	chr003_damage
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr003_damage.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr003_damage.png
chr009_damage	chr009_damage
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr009_damage.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr009_damage.png
chr005_damage	chr005_damage
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr005_damage.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr005_damage.png
chr010_damage	chr010_damage
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr010_damage.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr010_damage.png
chr006_face_icon	chr006_face_icon
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_face_icon.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_face_icon.png
chr006_status_image	chr006_status_image
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_status_image.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_status_image.png
chr006_attack_01	chr006_attack_01
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_attack_01.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_attack_01.png
chr006_attack_02	chr006_attack_02
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_attack_02.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_attack_02.png
chr006_attack_03	chr006_attack_03
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_attack_03.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_attack_03.png
chr006_attack_04	chr006_attack_04
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_attack_04.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_attack_04.png
chr006_attack_05	chr006_attack_05
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_attack_05.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_attack_05.png
chr006_walk	chr006_walk
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_walk.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_walk.png
chr006_bed	chr006_bed
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_bed.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_bed.png
chr006_guard	chr006_guard
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_guard.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_guard.png
chr006_item	chr006_item
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_item.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_item.png
chr006_KO	chr006_KO
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_KO.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_KO.png
chr006_magic	chr006_magic
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_magic.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_magic.png
chr006_run	chr006_run
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_run.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_run.png
chr006_wait	chr006_wait
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_wait.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_wait.png
chr006_wait2	chr006_wait2
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_wait2.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_wait2.png
chr006_wait3	chr006_wait3
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_wait3.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_wait3.png
chr006_attack_A_01	chr006_attack_A_01
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_attack_A_01.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_attack_A_01.png
chr006_attack_A_02	chr006_attack_A_02
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_attack_A_02.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_attack_A_02.png
chr006_attack_A_03	chr006_attack_A_03
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_attack_A_03.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_attack_A_03.png
chr006_attack_A_04	chr006_attack_A_04
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_attack_A_04.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_attack_A_04.png
chr006_attack_A_05	chr006_attack_A_05
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_attack_A_05.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_attack_A_05.png
chr006_attack_B_01	chr006_attack_B_01
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_attack_B_01.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_attack_B_01.png
chr006_attack_B_02	chr006_attack_B_02
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_attack_B_02.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_attack_B_02.png
chr006_attack_B_03	chr006_attack_B_03
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_attack_B_03.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_attack_B_03.png
chr006_attack_C_01	chr006_attack_C_01
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_attack_C_01.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_attack_C_01.png
chr006_attack_D_01	chr006_attack_D_01
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_attack_D_01.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_attack_D_01.png
chr006_attack_D_02	chr006_attack_D_02
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_attack_D_02.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_attack_D_02.png
chr006_attack_E_01	chr006_attack_E_01
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_attack_E_01.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_attack_E_01.png
chr006_damage	chr006_damage
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_damage.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr006_damage.png
chr005	chr005
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr005.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr005.png
chr005_eyes	chr005_eyes
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr005_eyes.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr005_eyes.png
chr005_mouth	chr005_mouth
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr005_mouth.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr005_mouth.png
chr011_damage	chr011_damage
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr011_damage.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr011_damage.png
chr007_damage	chr007_damage
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr007_damage.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr007_damage.png
chr008_damage	chr008_damage
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr008_damage.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr008_damage.png
chr026_damage	chr026_damage
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr026_damage.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr026_damage.png
chr027_normal_walk	chr027_normal_walk
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr027_normal_walk.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr027_normal_walk.png
chr027_normal_wait	chr027_normal_wait
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr027_normal_wait.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr027_normal_wait.png
兵士（兜無し）	Soldier (No Helmet)
chr003	chr003
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr003.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr003.png
chr003_eyes	chr003_eyes
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr003_eyes.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr003_eyes.png
chr003_mouth	chr003_mouth
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr003_mouth.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr003_mouth.png
chr004	chr004
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr004.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr004.png
chr004_eyes	chr004_eyes
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr004_eyes.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr004_eyes.png
chr004_mouth	chr004_mouth
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr004_mouth.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr004_mouth.png
chr007_status_image	chr007_status_image
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr007_status_image.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr007_status_image.png
chr010_status_image	chr010_status_image
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr010_status_image.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr010_status_image.png
chr008_face_icon	chr008_face_icon
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr008_face_icon.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr008_face_icon.png
chr008_status_image	chr008_status_image
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr008_status_image.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr008_status_image.png
chr017_wait	chr017_wait
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr017_wait.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr017_wait.png
chr024_wait	chr024_wait
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr024_wait.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr024_wait.png
chr024_walk	chr024_walk
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr024_walk.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr024_walk.png
chr026_wait	chr026_wait
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr026_wait.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr026_wait.png
chr028_wait	chr028_wait
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr028_wait.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr028_wait.png
chr031_walk	chr031_walk
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr031_walk.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr031_walk.png
chr030_wait	chr030_wait
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr030_wait.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr030_wait.png
chr030_walk	chr030_walk
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr030_walk.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr030_walk.png
執事	Butler
chr033_wait	chr033_wait
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr033_wait.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr033_wait.png
chr033_walk	chr033_walk
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr033_walk.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr033_walk.png
聖職者A	Cleric A
chr034_wait	chr034_wait
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr034_wait.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr034_wait.png
chr034_walk	chr034_walk
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr034_walk.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr034_walk.png
聖職者B	Cleric B
chr032_wait	chr032_wait
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr032_wait.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr032_wait.png
chr032_walk	chr032_walk
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr032_walk.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr032_walk.png
占い師	Fortune Teller
chr009_attack_D_02	chr009_attack_D_02
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr009_attack_D_02.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr009_attack_D_02.png
chr018_wait	chr018_wait
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr018_wait.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr018_wait.png
chr018_walk	chr018_walk
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr018_walk.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr018_walk.png
老人A	Old Man A
chr043_wait1	chr043_wait1
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr043_wait1.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr043_wait1.png
chr043_run	chr043_run
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr043_run.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr043_run.png
chr043_wait	chr043_wait
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr043_wait.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr043_wait.png
chr043_walk	chr043_walk
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr043_walk.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr043_walk.png
chr019_wait	chr019_wait
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr019_wait.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr019_wait.png
chr019_walk	chr019_walk
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr019_walk.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr019_walk.png
老人B	Old Man B
chr041_wait	chr041_wait
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr041_wait.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr041_wait.png
chr041_walk	chr041_walk
sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr041_walk.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\chr041_walk.png
rabbit_0	rabbit_0
sys:00000000-0000-0000-0000-000000000000|.\res\texture\rabbit_0.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\rabbit_0.png
ninja_0	ninja_0
sys:00000000-0000-0000-0000-000000000000|.\res\texture\ninja_0.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\ninja_0.png
ninja_1	ninja_1
sys:00000000-0000-0000-0000-000000000000|.\res\texture\ninja_1.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\ninja_1.png
ninja_2	ninja_2
sys:00000000-0000-0000-0000-000000000000|.\res\texture\ninja_2.png	sys:00000000-0000-0000-0000-000000000000|.\res\texture\ninja_2.png
ninja_3	ninja_3
